l,avg_error,max_error,min_error,mse,total_error
5,1309.168773,6393.001953,0.063843,2640719.322330,84834136.487536
10,939.130421,6883.211426,0.001343,1489060.986609,60855651.284934
20,641.099710,6299.017578,0.043701,774254.169701,41543261.192834
30,494.714988,5804.392578,0.003845,509395.884927,32057531.196999
50,362.095935,4971.229492,0.001221,310106.416852,23463816.604095
100,254.620325,4256.360840,0.002197,172886.266659,16499397.075477
150,197.575380,3549.725342,0.000000,113979.615870,12802884.647255
175,165.286404,3283.566895,0.003506,93080.361816,10710558.999392
190,149.803700,2964.002197,0.000000,87910.816836,9707279.756161
195,148.848625,3042.537354,0.000244,90762.147391,9645390.879059
196,148.465686,3031.046143,0.000610,89979.626803,9620576.432288
197,148.468757,3060.569092,0.000122,90836.481998,9620775.480838
198,148.625769,3124.090820,0.003418,92826.756564,9630949.843492
199,148.459511,3143.494873,0.003418,93223.128871,9620176.313284
200,148.759435,3130.846924,0.001953,92848.571857,9639611.390635
201,149.395251,3139.229004,0.000488,93276.554644,9680812.242907
250,206.240443,4604.216309,0.001465,195113.833484,13364380.710282
300,352.592598,7748.925781,0.012054,586053.216643,22848000.372473
400,7024.889829,30381.238281,0.103598,86134886.830295,455212860.937984
500,8408.861318,40136.281250,0.236979,124686310.239933,544894213.405403
